0.0776	0.00983	0.0012	-0.01706	-0.01356	-0.0103	0.01338	-0.00121	-0.00722	-0.00789
0.11232	-0.01202	0.02979	0.02009	0.00368	0.00273	-0.00612	0.00658	-0.01643	0.02678
0.10289	0.01835	-0.02088	-0.00128	0.00796	0.00946	-0.00118	-3.61E-04	0.00314	0.00855
0.08685	-0.00411	-0.04274	0.00199	-0.013	0.00988	-0.01034	-0.02034	-0.03022	0.02212
0.11843	0.01333	0.03216	-0.01223	-0.00502	-0.00721	-0.00442	0.01307	-0.0299	-0.0315
0.10867	0.00739	0.0048	-0.01081	0.01963	0.02229	-0.019	-0.01665	-0.01443	5.92E-04
0.10981	-0.00303	0.01	-0.00159	-0.01318	0.00129	-9.97E-04	-0.0217	0.00259	-0.02242
0.11	-0.01047	0.02101	0.02722	0.01776	-0.0061	0.01868	-0.02458	0.01462	0.01939
0.14398	-0.00612	0.01963	0.02166	-0.00232	-0.00673	0.04118	0.01467	0.02274	0.0094
0.12108	-0.00275	0.00213	-0.0014	0.00717	0.00811	0.00581	0.01217	0.02097	0.03342
0.12632	0.01064	0.02842	0.04066	0.00949	-0.01758	-0.00979	-0.00674	0.03001	0.03754
0.13004	0.01517	0.0204	0.03262	-0.01728	0.03878	-0.0068	0.02099	0.02697	0.01628
0.1475	0.04597	0.01659	0.01832	0.03581	0.02786	0.02412	-0.01104	0.02766	0.05873
0.13039	0.03977	0.03624	0.01293	0.03338	0.02121	0.03336	0.03172	0.01573	-0.02212
0.14849	0.03085	0.04297	0.02265	0.02055	0.00701	0.0215	0.03949	0.0195	-0.02166
0.15152	0.02536	0.02824	0.02835	0.02118	0.04064	0.06734	0.05167	0.05206	0.08323
0.15387	0.03252	0.03643	0.04016	0.04043	0.00201	0.04072	0.03056	0.05348	0.08022
0.15612	0.04356	0.03439	0.01086	0.04735	0.07904	0.04496	0.04483	0.03249	0.08262
0.17748	0.06243	0.06544	0.02589	0.04516	0.02282	0.06954	0.04381	0.0588	0.05743
0.19196	0.08209	0.11515	0.06613	0.06289	0.06671	0.06486	0.07762	0.08829	0.02665
0.22555	0.11134	0.08186	0.07876	0.07924	0.07504	0.10328	0.11134	0.09318	0.11239
0.25338	0.11721	0.09558	0.12953	0.12775	0.13245	0.0961	0.13709	0.13067	0.14524
0.267	0.14497	0.10441	0.11953	0.10076	0.10267	0.14079	0.1076	0.14247	0.16481
0.23645	0.15859	0.10354	0.13587	0.12268	0.14997	0.15679	0.13037	0.13131	0.11938
0.26625	0.10005	0.13631	0.11223	0.08329	0.1163	0.12544	0.14237	0.15657	0.10798
0.22844	0.11526	0.09731	0.08458	0.10764	0.1286	0.1156	0.09686	0.10439	0.07778
0.15806	0.10094	0.11603	0.08609	0.08807	0.08979	0.08876	0.10138	0.11205	0.09261
0.13729	0.04436	0.04692	0.03806	0.05554	0.08139	0.11962	0.07148	0.06897	0.07874
0.06756	0.05757	0.06229	0.03999	0.05581	0.05364	0.06694	0.08822	0.04487	0.0604
0.05789	0.03115	0.04281	0.03734	0.01152	0.03699	0.03519	0.05196	0.03376	0.06287
0.00831	0.01256	0.04841	0.0099	0.01616	9.91E-04	0.02788	0.07417	0.01222	0.00805
-0.01765	-0.01534	0.03361	0.01948	0.02781	0.0514	0.02866	0.03945	0.032	0.01696
-0.03947	-0.01695	0.01713	0.04416	0.03553	0.02396	0.03053	0.03504	0.02173	0.02798
-0.05855	0.01389	0.06854	0.05696	0.0393	0.04684	0.05334	0.07953	0.06695	0.04333
-0.06728	0.00597	0.05621	0.0697	0.04171	0.08334	0.06615	0.0457	0.04726	0.06299
